sample_file_path|inputs/region/attr_datasets/hlr/attr_hlr_conus.parquet
title|File containing HLR attribute data for all catchments in a NWM domain (e.g., CONUS).
div_id|Unique identifier for each catchment.
AQPERMNEW|aquifer permeability
SLOPE|mean slope
TAVE|mean annual temperature
PPT|mean annual precipitation
PET|mean annual potential evaporatranspiration
PMPE|mean annual precpitation minus PET
SAND|percentage of sand in the soil
MINELE|minimum elevation
RELIEF|relief
PFLATTOT|total percentage of flatland
PFLATLOW|percentage of flatland in the lowland area
PFLATUP|percentage of flatland in the upland area
