sample_file_path|inputs/region/attr_datasets/hydroatlas/attr_hydroatlas_conus.parquet
title|File containing HydroATLAS attribute data for all catchments in a NWM domain (e.g., CONUS).
div_id|Unique identifier for each catchment.
dis_m3_pyr|annual average natural discharge (m3/year)
dis_m3_pmn|annual minimum naturaldischarge (m3/month)
dis_m3_pmx|annual maximum natural discharge (m3/month)
run_mm_syr|sub-basin annual average land surface runoff (mm/year)
inu_pc_smn|sub-basin annual minimum inundation extent (percent)
inu_pc_umn|total watershed annual minimum inundation extent (percent)
inu_pc_smx|sub-basin annual maximum inundation extent (percent)
inu_pc_umx|total watershed annual maximum inundation extent (percent)
inu_pc_slt|sub-basin long-term maximum inundation extent (percent)
inu_pc_ult|total watershed long-term maximum inundation extent (percent)
lka_pc_sse|sub-basin lake area (percent)
lka_pc_use|total watershed lake area (percent)
lkv_mc_usu|total watershed lake volume (million m3)
rev_mc_usu|total watershed reservoir volume (million m3)
dor_pc_pva|sub-basin degree of regulation (percent)
ria_ha_ssu|sub-basin river area (hectares)
ria_ha_usu|total watershed river area (hectares)
riv_tc_ssu|sub-basin river volume (thousand m3)
riv_tc_usu|total watershed river volume (thousand m3)
gwt_cm_sav|sub-basin average groundwater table depth (cm)
ele_mt_sav|sub-basin average elevation (meters above sea level)
ele_mt_uav|total watershed average elevation (meters above sea level)
ele_mt_smn|sub-basin minimum elevation (meters above sea level)
ele_mt_smx|sub-basin maximum elevation (meters above sea level)
slp_dg_sav|sub-basin average slope (degrees)
slp_dg_uav|total watershed average slope (degrees)
sgr_dk_sav|sub-basin stream gradient (decimeters per kilometer)
clz_cl_smj|sub-basin spatial majority climate zone (classes 18)
cls_cl_smj|sub-basin spatial majority climate strata (classes 125)
tmp_dc_syr|sub-basin annual average temperature (degrees C x10)
tmp_dc_uyr|total watershed annual average temperature (degrees C x10)
tmp_dc_smn|sub-basin annual minimum temperature (degrees C x10)
tmp_dc_smx|sub-basin annual maximum temperature (degrees C x10)
tmp_dc_s01|sub-basin average January temperature (degrees C x10)
tmp_dc_s02|sub-basin average February temperature (degrees C x10)
tmp_dc_s03|sub-basin average March temperature (degrees C x10)
tmp_dc_s04|sub-basin average April temperature (degrees C x10)
tmp_dc_s05|sub-basin average May temperature (degrees C x10)
tmp_dc_s06|sub-basin average June temperature (degrees C x10)
tmp_dc_s07|sub-basin average July temperature (degrees C x10)
tmp_dc_s08|sub-basin average August temperature (degrees C x10)
tmp_dc_s09|sub-basin average September temperature (degrees C x10)
tmp_dc_s10|sub-basin average October temperature (degrees C x10)
tmp_dc_s11|sub-basin average November temperature (degrees C x10)
