select,attr_name,description
1,dis_m3_pyr,annual average natural discharge (m3/year)
1,dis_m3_pmn,annual minimum naturaldischarge (m3/month)
1,dis_m3_pmx,annual maximum natural discharge (m3/month)
1,run_mm_syr,sub-basin annual average land surface runoff (mm/year)
1,inu_pc_smn,sub-basin annual minimum inundation extent (percent)
1,inu_pc_umn,total watershed annual minimum inundation extent (percent)
1,inu_pc_smx,sub-basin annual maximum inundation extent (percent)
1,inu_pc_umx,total watershed annual maximum inundation extent (percent)
1,inu_pc_slt,sub-basin long-term maximum inundation extent (percent)
1,inu_pc_ult,total watershed long-term maximum inundation extent (percent)
1,lka_pc_sse,sub-basin lake area (percent)
1,lka_pc_use,total watershed lake area (percent)
1,lkv_mc_usu,total watershed lake volume (million m3)
1,rev_mc_usu,total watershed reservoir volume (million m3)
1,dor_pc_pva,sub-basin degree of regulation (percent)
1,ria_ha_ssu,sub-basin river area (hectares)
1,ria_ha_usu,total watershed river area (hectares)
1,riv_tc_ssu,sub-basin river volume (thousand m3)
1,riv_tc_usu,total watershed river volume (thousand m3)
1,gwt_cm_sav,sub-basin average groundwater table depth (cm)
1,ele_mt_sav,sub-basin average elevation (meters above sea level)
1,ele_mt_uav,total watershed average elevation (meters above sea level)
1,ele_mt_smn,sub-basin minimum elevation (meters above sea level)
1,ele_mt_smx,sub-basin maximum elevation (meters above sea level)
1,slp_dg_sav,sub-basin average slope (degrees)
1,slp_dg_uav,total watershed average slope (degrees)
1,sgr_dk_sav,sub-basin stream gradient (decimeters per kilometer)
1,clz_cl_smj,sub-basin spatial majority climate zone (classes 18)
1,cls_cl_smj,sub-basin spatial majority climate strata (classes 125)
1,tmp_dc_syr,sub-basin annual average temperature (degrees C x10)
1,tmp_dc_uyr,total watershed annual average temperature (degrees C x10)
1,tmp_dc_smn,sub-basin annual minimum temperature (degrees C x10)
1,tmp_dc_smx,sub-basin annual maximum temperature (degrees C x10)
1,tmp_dc_s01,sub-basin average January temperature (degrees C x10)
1,tmp_dc_s02,sub-basin average February temperature (degrees C x10)
1,tmp_dc_s03,sub-basin average March temperature (degrees C x10)
1,tmp_dc_s04,sub-basin average April temperature (degrees C x10)
1,tmp_dc_s05,sub-basin average May temperature (degrees C x10)
1,tmp_dc_s06,sub-basin average June temperature (degrees C x10)
1,tmp_dc_s07,sub-basin average July temperature (degrees C x10)
1,tmp_dc_s08,sub-basin average August temperature (degrees C x10)
1,tmp_dc_s09,sub-basin average September temperature (degrees C x10)
1,tmp_dc_s10,sub-basin average October temperature (degrees C x10)
1,tmp_dc_s11,sub-basin average November temperature (degrees C x10)
1,tmp_dc_s12,sub-basin average December temperature (degrees C x10)
1,pre_mm_syr,sub-basin annual average precipitation (mm/year)
1,pre_mm_uyr,total watershed annual average precipitation (mm/year)
1,pre_mm_s01,sub-basin average January precipitation (mm)
1,pre_mm_s02,sub-basin average February precipitation (mm)
1,pre_mm_s03,sub-basin average March precipitation (mm)
1,pre_mm_s04,sub-basin average April precipitation (mm)
1,pre_mm_s05,sub-basin average May precipitation (mm)
1,pre_mm_s06,sub-basin average June precipitation (mm)
1,pre_mm_s07,sub-basin average July precipitation (mm)
1,pre_mm_s08,sub-basin average August precipitation (mm)
1,pre_mm_s09,sub-basin average September precipitation (mm)
1,pre_mm_s10,sub-basin average October precipitation (mm)
1,pre_mm_s11,sub-basin average November precipitation (mm)
1,pre_mm_s12,sub-basin average December precipitation (mm)
1,pet_mm_syr,sub-basin annual average potential evapotranspiration (mm/year)
1,pet_mm_uyr,total watershed annual average potential evapotranspiration (mm/year)
1,pet_mm_s01,sub-basin average January potential evapotranspiration (mm)
1,pet_mm_s02,sub-basin average February potential evapotranspiration (mm)
1,pet_mm_s03,sub-basin average March potential evapotranspiration (mm)
1,pet_mm_s04,sub-basin average April potential evapotranspiration (mm)
1,pet_mm_s05,sub-basin average May potential evapotranspiration (mm)
1,pet_mm_s06,sub-basin average June potential evapotranspiration (mm)
1,pet_mm_s07,sub-basin average July potential evapotranspiration (mm)
1,pet_mm_s08,sub-basin average August potential evapotranspiration (mm)
1,pet_mm_s09,sub-basin average September potential evapotranspiration (mm)
1,pet_mm_s10,sub-basin average October potential evapotranspiration (mm)
1,pet_mm_s11,sub-basin average November potential evapotranspiration (mm)
1,pet_mm_s12,sub-basin average December potential evapotranspiration (mm)
1,aet_mm_syr,sub-basin annual average actual evapotranspiration (mm/year)
1,aet_mm_uyr,total watershed annual average actual evapotranspiration (mm/year)
1,aet_mm_s01,sub-basin average January actual evapotranspiration (mm)
1,aet_mm_s02,sub-basin average February actual evapotranspiration (mm)
1,aet_mm_s03,sub-basin average March actual evapotranspiration (mm)
1,aet_mm_s04,sub-basin average April actual evapotranspiration (mm)
1,aet_mm_s05,sub-basin average May actual evapotranspiration (mm)
1,aet_mm_s06,sub-basin average June actual evapotranspiration (mm)
1,aet_mm_s07,sub-basin average July actual evapotranspiration (mm)
1,aet_mm_s08,sub-basin average August actual evapotranspiration (mm)
1,aet_mm_s09,sub-basin average September actual evapotranspiration (mm)
1,aet_mm_s10,sub-basin average October actual evapotranspiration (mm)
1,aet_mm_s11,sub-basin average November actual evapotranspiration (mm)
1,aet_mm_s12,sub-basin average December actual evapotranspiration (mm)
1,ari_ix_sav,sub-basin average global arid index (index value)
1,ari_ix_uav,total watershed average global arid index (index value)
1,cmi_ix_syr,sub-basin annual average climate moisture index (index value)
1,cmi_ix_uyr,total watershed annual average climate moisture index (index value)
1,cmi_ix_s01,sub-basin average January climate moisture index (index value)
1,cmi_ix_s02,sub-basin average February climate moisture index (index value)
1,cmi_ix_s03,sub-basin average March climate moisture index (index value)
1,cmi_ix_s04,sub-basin average April climate moisture index (index value)
1,cmi_ix_s05,sub-basin average May climate moisture index (index value)
