select,attr_name,description
1,area_sqkm, "area in square kilometers"
1,elevation_mean, "mean elevation"
1,slope250m_mean, "mean slope calculated from 250m DEM"
1,aspect_circmean, "circular mean of aspect"
1,lat, "latitude"
1,lon, "longitude"
1,glacier_percent, "percentage of glacier area"
1,bexp_mode, "NWM parameter | beta exponent on Clapp-Hornberger (1978) soil water relations (mode)"
1,isltyp_mode, "NWM parameter | soil type (mode)"
1,ivgtyp_mode, "NWM parameter | vegetation type (mode)"
1,dksat_geomean, "NWM parameter | saturated hydraulic conductivity (geometric mean)"
1,psisat_geomean, "NWM parameter | saturated capillary head (geometric mean)"
1,cwpvt_mean, "NWM parameter | canopy wind parameter for canopy wind profile formulation (mean)"
1,mp_mean, "NWM parameter | Slope of Ball-Berry conductance relationship (mean)"
1,mfsno_mean, "NWM parameter | minimum snow water equivalent (mean)"
1,quartz_mean, "NWM parameter | quartz content (mean)"
1,refkdt_mean, "NWM parameter | Soil infiltration parameter (mean)"
1,slope1km_mean, "NWM parameter | Coeffecient controlling the drainage out of the soil bottom (0=no-flow)"
1,smcmax_mean, "NWM parameter | maximum soil moisture content (mean)"
1,smcwlt_mean, "NWM parameter | soil moisture content at wilting point (mean)"
1,vcmx_mean, "NWM parameter | Maximum carboxylation at 25 degC (mean)"
1,cgw, "NWM parameter | channel groundwater storage"
1,expon, "NWM parameter | exponent for nonlinear ground water reservoir (1.0 for linear reservoir)"
1,max_gw_storage, "NWM parameter | maximum groundwater storage"
1,imperv_mean, "NWM parameter | impervious area fraction (mean)"
1,a_xinanjiang_inflection_point_parameter, "NWM parameter | Xinanjiang inflection point parameter"
1,b_xinanjiang_shape_parameter, "NWM parameter | Xinanjiang shape parameter"
1,x_xinanjiang_shape_parameter, "NWM parameter | Xinanjiang shape parameter"
1,twi_q25, "25th percentile of topographic wetness index"
1,twi_q50, "50th percentile of topographic wetness index"
1,twi_q75, "75th percentile of topographic wetness index"
1,twi_q100, "100th percentile of topographic wetness index"
1,twi_q10, "10th percentile of topographic wetness index"
1,twi_q20, "20th percentile of topographic wetness index"
1,twi_q30, "30th percentile of topographic wetness index"
1,twi_q40, "40th percentile of topographic wetness index"
1,twi_q60, "60th percentile of topographic wetness index"
1,twi_q70, "70th percentile of topographic wetness index"
1,twi_q80, "80th percentile of topographic wetness index"
1,twi_q90, "90th percentile of topographic wetness index"
1,lzfpm_mean, "SAC-SMA parameter | Maximum lower zone free water, primary(mean)"
1,lzpk_mean, "SAC-SMA parameter | Lower zone recession coefficient, primary (mean)"
1,lztwm_mean, "SAC-SMA parameter | Maximum lower zone tension water (mean)"
1,rexp_mean, "SAC-SMA parameter | Percolation equation exponent (mean)"
1,uzk_mean, "SAC-SMA parameter | Upper zone recession coefficient (mean)"
1,zperc_mean, "SAC-SMA parameter | Minimum percolation rate coefficient (mean)"
1,lzfsm_mean, "SAC-SMA parameter | Maximum lower zone free water, secondary or supplemental (mean)"
1,lzsk_mean, "SAC-SMA parameter | Lower zone recession coefficient, secondary or supplemental (mean)"
1,pfree_mean, "SAC-SMA parameter | Percent percolating directly to lower zone free water (mean)"
1,uzfwm_mean, "SAC-SMA parameter | Maximum upper zone free water (mean)"
1,uztwm_mean, "SAC-SMA parameter | Maximum upper zone tension water (mean)"
1,mfmin_mean, "SNOW-17 parameter | Minimum non-rain melt factor (mean)"
1,mfmax_mean, "SNOW-17 parameter | Maximum non-rain melt factor (mean)"
1,uadj_mean, "SNOW-17 parameter | Average wind function for rain on snow (mean)"
1,temp_delta_jan_mean, "temperature delta for January (mean)"
1,temp_delta_feb_mean, "temperature delta for February (mean)"
1,temp_delta_mar_mean, "temperature delta for March (mean)"
1,temp_delta_apr_mean, "temperature delta for April (mean)"
1,temp_delta_may_mean, "temperature delta for May (mean)"
1,temp_delta_jun_mean, "temperature delta for June (mean)"
1,temp_delta_jul_mean, "temperature delta for July (mean)"
1,temp_delta_aug_mean, "temperature delta for August (mean)"
1,temp_delta_sep_mean, "temperature delta for September (mean)"
1,temp_delta_oct_mean, "temperature delta for October (mean)"
1,temp_delta_nov_mean, "temperature delta for November (mean)"
1,temp_delta_dec_mean, "temperature delta for December (mean)"
